label,sentence
1,You can rely on Ben.
1,John is tough to persuade.
0,I know a man who Bill saw and liked Mary.
1,The teacher is proud of his students.
0,Which boy is tall!
1,"How much harder has it rained, when you see a faster flow in the river?"
0,"Before your, this girl in the red coat will put a picture of Bill on your desk before tomorrow."
0,Pat was annoyed by that their parents did nothing to stop it.
1,I shall go downtown.
1,She might be pregnant.
1,I doubt his sincerity.
1,Any pilot must be out flying planes today.
0,She speaks too much clearly.
1,It would be inconvenience for you to leave so soon.
0,Which packages is it possible that Sam didn't pick up which are to be mailed tomorrow until it had stopped raining?
1,Raccoons destroyed the garden.
1,No man has ever beaten the centaur.
0,Tracy has become a republican and of the opinion that we must place nuclear weapons in Europe.
1,Smith inscribed the ring with his name.
0,John heard that they criticized each other.
1,I arranged for him to see her.
0,You must pick any flower.
1,"Everybody who has ever, worked in any office which contained any typewriter which had ever been used to type any letters which had to be signed by any administrator who ever worked in any department like mine will know what I mean."
1,Some of the promoters of ostrich meat compare its taste to beef tenderloin.
0,The king of Rock and Roll is more popular than the one of country music.
0,Peter is owners of pigs.
1,Few boys read any of the books.
1,Seldom is any lion majestic.
0,I considered Fred after the party crazy.
1,Smith was annealing.
1,I believe strongly that the world is round.
1,John knows that she left and John knows whether she will come back.
1,We were wondering who did you meet at the conference.
1,He is believed by John to have been at the game.
0,The in loved peanut butter cookies.
0,The socks are ready for you to announce that you will put on.
1,John deposited some money in the checking account and Mary did the same thing.
1,"Elmer finished the cake and John did too, finish the cake."
1,Can he not have been working?
1,even the student left.
0,You will Bob believe.
1,"Mary sent Bill a book,…."
1,Alison poked the needle into the cloth.
0,There were killed three men by the assassin.
1,The answer is known to Sue.
0,I sought the woods for game.
0,Dogs chase.
1,A fire raged over the fields.
1,Jason was killed by Medea.
1,A solution immediately presented itself to him.
1,John saw Stephan
1,He skated Penny around the rink.
1,I ordered John to drink his beer.
1,John got sent to prison.
1,The dog fears thunder.
0,"We gave every senator enough opportunity and, sure enough, he succumbed to corruption."
1,He left.
0,Soon irritating and a bully started shouting again.
0,The agency classified.
0,John believes that Fred likes steak that Joe likes pizza.
1,"Louise likes not being happy, doesn't she?"
1,It seems that it is likely that John will win.
1,My brother lives near Strasbourg.
1,Robert knows it is essential that he is well behaved.
0,Anson became that he was happy
1,The quiche and I were cooking.
0,The cup filled of water.
1,The weights stretched the rope over the pulley.
1,What all did you get for Christmas?
0,The place which I live at is the place where Route 150 crosses the Hudson River.
1,Who has drunk the poison?
1,I hoped that you would defeat him.
1,Which poem did you go to hear a recital of last night?
0,I hope to can study in France.
1,"The knife, which he threw into the sea had a gold handle."
1,They talked to Kim and to each other.
0,"The later it gets, the more people everyone who likes pays attention to."
1,"Louise is unhappy, isn't she?"
1,It was the director that I think she said she wants to meet.
1,"John gave Mary, and Joan presented to Fred, books which looked."
1,John is easy to please and to love.
1,Zeke ate and cooked the chili.
1,We have someone in the living room.
1,Nora pushed her way through the crowd.
1,I sent Mary money.
1,A clever magician with the right equipment can fool the audience easily.
0,John said if Heidi was obsessed with broccoli.
1,"John is more embarrassed, the more pictures of himself appear in the news."
1,Truman punched Johnson
0,"They want to hire someone who speaks a Balkan language, but I don't know which language."
0,I wanted that he should leave.
1,Who protected him?
1,I believe she is pregnant
1,Which book and which pencil did John buy?
1,Bill works with him.
1,How did you eat the cake?
0,Which city and which conference did Bill go to to?
1,A man came into the room with blond hair.
1,I mixed the eggs and cream together.
0,I put the box the book.
0,She always clad herself in black.
1,Andy gives freely of his time.
0,The airport yawned
1,John put the book on the table with a pair of tongs.
0,I made a proposal we squander the money.
1,Unicorns don't exist.
1,Frank hopes to persuade Harry to make the cook wash the dishes.
0,Benjamin gave to Lee it.
1,He has a car.
1,John tagged the monkey in the forest.
1,Brenda agreed with Molly.
0,John is believed to be certain by everyone that Fred is crazy.
1,I don't remember what I said all?
1,"John may drink water, and Bill drink beer."
1,For the girl to put a picture there is what I prefer.
1,I have often eaten muffins.
0,John concluded Bill to be a fool.
0,"The more pictures of himself appear in the news, the more likely John is to get arrested."
1,I'm surprised we had any potatoes.
1,The sign warned against skating on the pond.
1,Who did you hear an oration about?
0,The boy Bill and who I watched was vain.
0,Gilgamesh might loved Ishtar
1,"As for Max, I really like him."
1,Cynthia lunched on peaches.
1,Mary has more friends than just Bill and Pete.
1,Alison poked Daisy's ribs.
1,I played a tune on my iPod.
1,The cook boned the fish.
1,Ellen conferred with Helen.
1,Many soldiers have claimed bottled water satisfies thirst best.
0,Robin arrived most of the way at the station.
